Symbol,LTP,%Change,Open,High,Low,Qty.,PClose,Diff.
ACLBSL,955.00,1.04,940.00,956.00,940.00,"1,035",945.20,9.8
ADBL,307.70,0.07,302.10,307.70,302.00,"17,126",307.50,0.2
AHL,470.00,-1.03,460.00,502.00,460.00,"2,505",474.90,-4.9
AHPC,266.90,-0.45,279.90,279.90,260.20,"150,040",268.10,-1.2
AKJCL,371.50,0.81,368.50,375.00,356.00,"815,172",368.50,3
AKPL,262.60,1.19,259.50,263.00,255.00,"87,384",259.50,3.1
ALBSL,"1,080.00",-0.46,"1,090.00","1,090.00","1,050.00","4,470","1,085.00",-5
ALICL,440.10,-0.65,441.10,441.40,438.10,"29,108",443.00,-2.9
ANLB,"5,875.00",-0.41,"5,899.00","5,899.00","5,723.00",161,"5,899.00",-24
APHL,875.00,2.1,860.00,900.00,810.00,"39,477",857.00,18
API,337.80,-0.35,337.00,339.00,331.10,"219,330",339.00,-1.2
AVYAN,"1,055.00",0,"1,055.00","1,079.90","1,041.20","4,154","1,055.00",0
BANDIPUR,779.50,-2.59,800.00,800.00,755.00,"40,626",800.20,-20.7
BARUN,329.00,-0.3,337.00,337.00,320.30,"38,770",330.00,-1
BBC,"4,298.00",1.13,"4,123.00","4,480.00","4,123.00",602,"4,250.10",47.9
BEDC,346.00,-1.42,359.00,359.00,342.00,"30,077",351.00,-5
BFC,520.10,1.52,486.70,521.50,486.70,"87,068",512.30,7.8
BGWT,616.00,-3.66,671.30,671.30,605.00,"1,829",639.40,-23.4
BHCL,547.00,3.8,525.00,549.70,522.00,"65,740",527.00,20
BHDC,445.00,-0.54,425.10,449.00,425.10,"8,193",447.40,-2.4
BHL,210.00,-1.64,213.50,215.00,208.00,"114,607",213.50,-3.5
BHPL,519.90,0.54,492.00,523.00,492.00,"7,740",517.10,2.8
BJHL,943.00,14.69,800.00,943.00,781.00,"8,327",822.20,120.8
BNHC,317.50,-1.92,327.00,327.00,315.00,"2,621",323.70,-6.2
BNT,"11,525.00",-2,"11,525.00","11,525.00","11,525.00",10,"11,760.00",-235
BPCL,657.00,-1.35,666.00,666.00,640.00,"32,236",666.00,-9
